"DOY","Site","Type","Salinity","Nitrate","Nitrite","Phosphate","Silicate","Ammonia","Nitrogen","NP_Ratio","SiN_Ratio"
113,"MBS","seawater",32.7,5.1462,0.079,1.073,17.688,0.159,5.2252,4.79608574091333,3.43709921884109
118,"MBS","seawater",32.5,5.1308,0.075,1.262,18.04,0.091,5.2058,4.06561014263074,3.51602089342793
120,"MBS","seawater",32.5,5.0573,0.074,1.126,17.675,0.098,5.1313,4.49138543516874,3.49494789709924
123,"MBS","seawater",33.5,7.02015,0.113,1.141,21.18,0.367,7.13315,6.15262927256792,3.01702955065063
125,"MBS","seawater",33,4.5629,0.064,0.965,12.463,0.174,4.6269,4.72839378238342,2.7313769751693
126,"MBS","seawater",32.9,6.1939,0.079,0.996,16.026,0.014,6.2729,6.21877510040161,2.58738436203361
130,"MBS","seawater",32.6,6.084,0.101,1.121,16.735,0.098,6.185,5.42729705619982,2.75065746219592
132,"MBS","seawater",31.4,5.5213,0.076,1.19,16.502,0.211,5.5973,4.63974789915966,2.9887888721859
134,"MBS","seawater",31.3,4.0943,0.064,1.025,12.687,0.033,4.1583,3.99443902439024,3.09869819016682
137,"MBS","seawater",32.1,3.6262,0.087,0.796,11.8875,0.23175,3.7132,4.55552763819095,3.27822513926424
139,"MBS","seawater",31.2,6.3139,0.073,1.007,20.365,-0.012,6.3869,6.27000993048659,3.22542327246234
141,"MBS","seawater",31.5,6.5791,0.079,1.188,19.855,0.439,6.6581,5.53796296296296,3.01788998495235
144,"MBS","seawater",32,6.87895,0.102,1.252,22.3275,0.789,6.98095,5.49436900958466,3.24577152036285
147,"MBS","seawater",32.4,8.2288,0.117,1.342,27.499,1.14,8.3458,6.1317436661699,3.3417995333463
151,"MBS","seawater",31.6,5.0873,0.087,1.076,18.405,0.314,5.1743,4.72797397769517,3.61783264206947
153,"MBS","seawater",29.8,4.45745,0.072,0.7515,11.154,0.1665,4.52945,5.93140385894877,2.50232756396594
155,"MBS","seawater",29.9,1.2657,0.025,0.43,5.983,0.058,1.2907,2.94348837209302,4.72702852176661
158,"MBS","seawater",32.5,4.5066,0.041,0.6335,12.7385,0.519,4.5476,7.11381215469613,2.82663205076998
160,"MBS","seawater",31.2,9.5045,0.104,1.38,27.428,0.949,9.6085,6.88731884057971,2.88579094113315
162,"MBS","seawater",31.6,8.43795,0.1175,1.335,27.392,0.9175,8.55545,6.32056179775281,3.24628612399931
111,"UTQ","seawater",33,NA,NA,NA,NA,NA,NA,NA,NA
